pointX,pointY,size,angle,response,octave,classId
123.133,197.926,43,91.4691,1230.43,1,1
126.234,88.0474,21,179.936,1222.75,0,-1
217.83,102.544,13,91.6688,1218.79,0,-1
219.97,171.577,15,268.231,1201.17,0,-1
145.476,208.768,22,84.9819,1191.28,0,-1
137.048,86.2129,17,184.897,1178.67,0,1
228.522,75.0288,74,114.191,1174.66,2,1
80.5734,19.1837,27,325.063,1170.35,0,1
63.7706,166.263,30,79.8963,1164.4,1,-1
172.073,146.67,14,6.91191,1159.25,0,-1
126.148,193.718,60,89.7942,1134.27,2,1
148.698,98.2131,13,118.798,1128.6,0,1
266.468,185.552,12,90.2869,1126.74,0,-1
218.702,83.8981,22,196.046,1119.3,0,1
207.023,23.6247,13,134.358,1115.04,0,-1
115.856,153.957,33,81.7214,1114.21,1,1
227.452,160.067,16,91.9776,1110.6,0,1
161.631,98.3186,54,342.054,1092.1,2,1
219.481,152.313,19,90.9099,1069.26,0,-1
14.7543,173.291,21,107.865,1067.95,0,1
284.786,26.8608,28,264.645,1061.58,0,-1
28.9703,115.088,16,276.838,1057.18,0,-1
181.024,157.497,15,31.4671,1047.17,0,1
93.7663,80.3744,14,69.1469,1042.57,0,1
220.83,157.079,14,179.486,1032.75,0,-1
87.8719,129.147,32,359.404,1030.88,1,-1
91.2066,11.73,17,323.899,1027.8,0,-1
229.119,191.872,16,89.6381,1026.22,0,1
260.546,35.8951,12,259.927,1020.55,0,1
268.817,109.906,15,345.248,1018.04,0,-1
218.925,13.6965,13,347.446,1017.11,0,-1
268.709,91.9984,15,8.5617,1010.85,0,-1
36.3152,133.133,19,189.707,996.34,0,1
176.281,119.434,27,350.791,978.081,0,1
162.356,122.989,26,351.329,976.684,0,1
62.1715,60.3095,27,89.4086,967.394,0,1
26.1249,115.48,16,271.766,967.364,0,-1
163.889,123.706,26,352.613,966.168,0,1
33.7041,134.719,15,193.15,954.032,0,1
163.42,104.794,42,339.945,948.526,1,1
128.677,88.6382,17,174.262,915.721,0,-1
73.7979,117.324,25,203.09,901.939,0,-1
244.324,64.329,16,89.253,882.986,0,1
67.7096,104.759,13,195.763,881.723,0,1
23.9617,198.051,24,99.9671,879.944,0,1
73.4559,120.793,21,195.971,875.357,0,-1
102.224,128.361,21,218.544,873.629,0,1
22.4454,109.877,12,90.1341,867.319,0,1
